date,total_debt_mln_rub,qoq_growth_ex_fx_pct,debt_change_ex_fx_mln_rub,debt_change_ex_fx_trln_rub,source
2020-01-01,88204824,2.3835,2074268,2.074268,cbr_debt_extended
2020-04-01,95834379,2.24368,1979034,1.979034,cbr_debt_extended
2020-07-01,94414410,1.435605,1375803,1.375803,cbr_debt_extended
2020-10-01,99960579,2.151989,2031788,2.031788,cbr_debt_extended
2021-01-01,101079688,3.21573,3214463,3.214463,cbr_debt_extended
2021-04-01,102189854,0.454705,459614,0.459614,cbr_debt_extended
2021-07-01,103976446,2.882711,2945838,2.945838,cbr_debt_extended
2021-10-01,107560445,3.317576,3449498,3.449498,cbr_debt_extended
2022-01-01,110614255,2.347261,2524724,2.524724,cbr_debt_extended
2022-04-01,114334454,0.40534,448364,0.448364,cbr_debt_extended
2022-07-01,103368209,-0.407861,-466326,-0.466326,cbr_debt_extended
2022-10-01,108765204,3.402535,3517140,3.51714,cbr_debt_extended
2023-01-01,117390614,4.477661,4870137,4.870137,cbr_debt_extended
2023-04-01,121389068,1.733895,2035430,2.03543,cbr_debt_extended
2023-07-01,127655312,2.861642,3473721,3.473721,cbr_debt_extended
2023-10-01,137265074,5.424269,6924367,6.924367,cbr_debt_extended
2024-01-01,141749760,4.693463,6442486,6.442486,cbr_debt_extended
2024-04-01,145256191,1.965526,2786128,2.786128,cbr_debt_extended
2024-07-01,149659711,4.258312,6185462,6.185462,cbr_debt_extended
2024-10-01,158660968,4.767753,7135405,7.135405,cbr_debt_extended
2025-01-01,165127148,2.639084,4187197,4.187197,cbr_debt_extended
2025-04-01,162107862,0.844561,1394600,1.3946,cbr_debt_extended
2025-07-01,164142079,2.07291,3360350,3.36035,cbr_debt_extended
2025-10-01,170480306,3.152232,5174140,5.17414,cbr_debt_extended
2026-01-01,174741585,3.219096,5487924,5.487924,cbr_debt_extended
2026-04-01,176598384,0.60517,1057483,1.057483,cbr_debt_extended
